Category,Item Code,Description / Specification,Unit,Price Range (AED),Avg. Cost (AED),Typical Usage
Finishes & Decor,FN-HPL-SOL,"HPL Laminate (Solid Color, 0.8mm)",Sheet,48.00 – 65.00,55,"Standard countertops, durable wall finishes"
Finishes & Decor,FN-HPL-WOD,HPL Laminate (Woodgrain Texture),Sheet,75.00 – 105.00,88,"Premium counter finishes, rustic themes"
Finishes & Decor,FN-VNL-PRT,Printed Self-Adhesive Vinyl + Lam,Sqm,28.00 – 42.00,35,"Branding wraps, custom wall graphics"
Finishes & Decor,FN-VNL-CUT,Plotter Cut Vinyl (Solid Color),Sqm,18.00 – 28.00,23,"Decals, vector logos, window frosting"
Finishes & Decor,FN-FAB-BLK,Blockout Fabric (For Lightboxes),Sqm,35.00 – 55.00,45,"Tension fabric frames, seamless branding"
Finishes & Decor,FN-COR-12,Solid Surface / Corian (12mm),Sqm,450.00 – 700.00,580,High-end seamless counters (F&B / Cosmetics)
Paints & Chems,PT-EML-18L,Matt Emulsion Paint (18L Drum),Drum,140.00 – 185.00,160,Basic wall painting (covers ~80 sqm)
Paints & Chems,PT-PRM-05L,Wood Primer / Sealer (5L Can),Can,45.00 – 62.00,54,MDF surface preparation
Paints & Chems,PT-PU-01L,PU Spray Paint Finish (Gloss/Matt 1L),Liter,38.00 – 52.00,45,High-end flawless spray finish for counters
Paints & Chems,AD-GLU-15L,Contact Adhesive (15L Drum),Drum,125.00 – 155.00,140,Bonding laminates and heavy vinyls
Paints & Chems,AD-WD-05L,PVA Wood Glue (5L),Can,35.00 – 50.00,42,"Carpentry joints, laminating MDF layers"
Paints & Chems,AD-SIL-300,"Silicone Sealant (Clear/White, 300ml)",Tube,9.00 – 15.00,12,"Joint sealing, glass fixing"
Paints & Chems,PT-THN-05L,Paint Thinner (5L),Can,25.00 – 35.00,30,"Cleaning spray guns, thinning PU paint"
Flooring,FL-CPT-EXH,"Exhibition Carpet (Ribbed, 100 GSM)",Sqm,7.50 – 11.00,9,Temporary event booth flooring
Flooring,FL-VNL-LVT,Commercial LVT / Sheet Vinyl,Sqm,28.00 – 45.00,35,Premium pop-up store wooden flooring
Flooring,FL-TRF-15,Artificial Grass / Turf (15mm Pile),Sqm,18.00 – 26.00,22,"Outdoor theme zones, activation play areas"
Flooring,FL-TRF-30,Artificial Grass / Turf (30mm Premium),Sqm,35.00 – 50.00,42,High-end landscape themes
Flooring,FL-POD-ADJ,Raised Decking Pedestals (Adjustable),Unit,14.00 – 22.00,18,Cable management raised floors
Hardware,HW-TVM-65,Heavy Duty TV Wall Mount Bracket,Unit,35.00 – 58.00,45,Mounting screens onto feature walls
Hardware,HW-HNG-SC,Concealed Cabinet Hinges (Soft-close),Pair,6.00 – 11.00,8.5,Storage cabinet doors
Hardware,HW-RUN-450,Drawer Telescopic Runners (450mm),Pair,12.00 – 20.00,16,"Kiosk cash drawers, slide-out storage"
Hardware,HW-LCK-CAM,Cam Lock (For drawers/cabinets),Unit,8.00 – 15.00,12,Securing storage in public event spaces
Hardware,HW-SCR-BLK,Drywall / Black Screws (Box of 1000),Box,25.00 – 35.00,30,General assembly and framing
Hardware,HW-LBR-05,L-Brackets / Corner Braces (Metal),Unit,1.50 – 3.00,2,Reinforcing internal wood joints
Elect & Light,EL-LED-12W,LED Strip Light 12V Warm/Cool (5m),Roll,22.00 – 38.00,30,Recessed feature wall / toe-kick lighting
Elect & Light,EL-LED-RGB,LED Strip Light RGB (5m),Roll,45.00 – 70.00,55,Color-changing dynamic kiosk accents
Elect & Light,EL-TRN-200,LED Power Supply / Driver (12V 200W),Unit,45.00 – 68.00,55,Powering strip lights safely
Elect & Light,EL-SPT-07W,Recessed LED Downlight (7W - 10W),Unit,18.00 – 28.00,23,Product display and ceiling spot lighting
Elect & Light,EL-SKT-DBL,Double 13A Power Socket (UK Standard),Unit,15.00 – 25.00,20,Client power access in kiosks
Elect & Light,EL-CBL-1.5,3-Core Flexible Cable 1.5mm (100m),Roll,110.00 – 140.00,125,Internal booth wiring
